,lemma,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
3518,wyjść,9,0.0022854240731335703,8,0.009445100354191263
240,biedronka,9,0.0022854240731335703,8,0.009445100354191263
3837,łazienka,9,0.0022854240731335703,9,0.010625737898465172
535,cześć,9,0.0022854240731335703,6,0.0070838252656434475
528,czekoladka,9,0.0022854240731335703,9,0.010625737898465172
3483,wszystek,9,0.0022854240731335703,9,0.010625737898465172
979,herbatka,9,0.0022854240731335703,9,0.010625737898465172
3896,śpiący,9,0.0022854240731335703,8,0.009445100354191263
3413,wieża,9,0.0022854240731335703,9,0.010625737898465172
525,czekolada,9,0.0022854240731335703,9,0.010625737898465172
2867,sikać,9,0.0022854240731335703,9,0.010625737898465172
2452,pomalować,9,0.0022854240731335703,9,0.010625737898465172
2183,papa,9,0.0022854240731335703,8,0.009445100354191263
2700,płatka,9,0.0022854240731335703,9,0.010625737898465172
2895,skakać,9,0.0022854240731335703,8,0.009445100354191263
3289,ucho,9,0.0022854240731335703,7,0.008264462809917356
3148,tańczyć,9,0.0022854240731335703,9,0.010625737898465172
2801,różowy,9,0.0022854240731335703,9,0.010625737898465172
166,baja,9,0.0022854240731335703,9,0.010625737898465172
2446,polko,9,0.0022854240731335703,8,0.009445100354191263
2302,piotruś,9,0.0022854240731335703,5,0.0059031877213695395
175,bajke,9,0.0022854240731335703,8,0.009445100354191263
329,bujać,9,0.0022854240731335703,6,0.0070838252656434475
199,basia,9,0.0022854240731335703,5,0.0059031877213695395
2547,prawda,9,0.0022854240731335703,6,0.0070838252656434475
2386,podać,9,0.0022854240731335703,8,0.009445100354191263
410,choinka,8,0.002031488065007618,6,0.0070838252656434475
2787,rybka,8,0.002031488065007618,8,0.009445100354191263
3238,trzymać,8,0.002031488065007618,8,0.009445100354191263
3169,tez,8,0.002031488065007618,5,0.0059031877213695395
1571,lolek,8,0.002031488065007618,4,0.004722550177095631
1733,miejsce,8,0.002031488065007618,6,0.0070838252656434475
3484,wszystko,8,0.002031488065007618,8,0.009445100354191263
3409,wiewiórka,8,0.002031488065007618,3,0.0035419126328217238
3886,śniadanie,8,0.002031488065007618,8,0.009445100354191263
1651,mame,8,0.002031488065007618,5,0.0059031877213695395
51,adaś,8,0.002031488065007618,6,0.0070838252656434475
1044,jabłuszko,8,0.002031488065007618,7,0.008264462809917356
3762,znać,8,0.002031488065007618,5,0.0059031877213695395
3026,stąd,8,0.002031488065007618,8,0.009445100354191263
2115,opowiedzieć,8,0.002031488065007618,7,0.008264462809917356
3058,szczekać,8,0.002031488065007618,8,0.009445100354191263
