,lemma_18_20m,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,lemma_21_23m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,lemma_24_26m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,lemma_27_29m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,lemma_30_32m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,lemma_33_40m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
47,ola,10.0,0.014367816091954023,3.0,0.015306122448979591,aaa,18.0,0.014084507042253521,13.0,0.05019305019305019,bawić,35.0,0.01858736059479554,31.0,0.09337349397590361,ten,47.0,0.024077868852459015,36.0,0.10619469026548672,mamusia,51.0,0.022231909328683522,36.0,0.09399477806788512,lubić,88,0.03125,66,0.13387423935091278
48,jeść,10.0,0.014367816091954023,7.0,0.03571428571428571,tato,18.0,0.014084507042253521,12.0,0.04633204633204633,choć,34.0,0.018056293149229952,23.0,0.06927710843373494,tatuś,46.0,0.0235655737704918,33.0,0.09734513274336283,be,50.0,0.021795989537925022,28.0,0.0731070496083551,kochać,87,0.030894886363636364,67,0.1359026369168357
49,bum,10.0,0.014367816091954023,6.0,0.030612244897959183,o,18.0,0.014084507042253521,15.0,0.05791505791505792,już,34.0,0.018056293149229952,26.0,0.0783132530120482,auto,43.0,0.022028688524590164,33.0,0.09734513274336283,musieć,48.0,0.020924149956408022,35.0,0.09138381201044386,tatuś,75,0.026633522727272728,51,0.10344827586206896
50,bawić,9.0,0.01293103448275862,5.0,0.025510204081632654,ciocia,17.0,0.013302034428794992,15.0,0.05791505791505792,robić,34.0,0.018056293149229952,25.0,0.07530120481927711,bajka,42.0,0.02151639344262295,38.0,0.11209439528023599,włączyć,47.0,0.02048823016564952,43.0,0.1122715404699739,bardzo,73,0.025923295454545456,59,0.11967545638945233
51,jechać,9.0,0.01293103448275862,8.0,0.04081632653061224,myć,17.0,0.013302034428794992,11.0,0.04247104247104247,tato,33.0,0.017525225703664365,27.0,0.08132530120481928,duży,41.0,0.021004098360655737,31.0,0.09144542772861357,sklep,47.0,0.02048823016564952,40.0,0.10443864229765012,tato,73,0.025923295454545456,50,0.10141987829614604
52,lubić,8.0,0.011494252873563218,6.0,0.030612244897959183,baj,17.0,0.013302034428794992,13.0,0.05019305019305019,zrobić,33.0,0.017525225703664365,25.0,0.07530120481927711,tato,41.0,0.021004098360655737,29.0,0.0855457227138643,po,46.0,0.02005231037489102,36.0,0.09399477806788512,duży,73,0.025923295454545456,57,0.11561866125760649
53,i,8.0,0.011494252873563218,7.0,0.03571428571428571,myj,17.0,0.013302034428794992,7.0,0.02702702702702703,pa,31.0,0.016463090812533193,13.0,0.0391566265060241,włączyć,41.0,0.021004098360655737,36.0,0.10619469026548672,robić,46.0,0.02005231037489102,42.0,0.10966057441253264,robić,72,0.02556818181818182,56,0.11359026369168357
54,teraz,8.0,0.011494252873563218,6.0,0.030612244897959183,bo,16.0,0.012519561815336464,8.0,0.03088803088803089,buma,30.0,0.015932023366967606,14.0,0.04216867469879518,ciocia,40.0,0.020491803278688523,31.0,0.09144542772861357,o,43.0,0.018744551002615517,29.0,0.07571801566579635,po,69,0.024502840909090908,58,0.11764705882352941
55,dada,8.0,0.011494252873563218,5.0,0.025510204081632654,auto,16.0,0.012519561815336464,11.0,0.04247104247104247,bajka,30.0,0.015932023366967606,27.0,0.08132530120481928,lubić,34.0,0.017418032786885244,28.0,0.08259587020648967,ciocia,42.0,0.018308631211857017,32.0,0.0835509138381201,kiedy,67,0.023792613636363636,52,0.10547667342799188
56,czytać,8.0,0.011494252873563218,5.0,0.025510204081632654,mniam,16.0,0.012519561815336464,8.0,0.03088803088803089,bo,29.0,0.015400955921402018,20.0,0.060240963855421686,o,33.0,0.016905737704918034,30.0,0.08849557522123894,jeszcze,42.0,0.018308631211857017,28.0,0.0731070496083551,sklep,64,0.022727272727272728,57,0.11561866125760649
