,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
3904,świecić,11,0.0027925869510027927,11,0.012987012987012988
3195,tomek,10,0.002538715410002539,8,0.009445100354191263
3706,zepsuć,10,0.002538715410002539,10,0.011806375442739079
1439,ktoś,10,0.002538715410002539,8,0.009445100354191263
607,dobrze,10,0.002538715410002539,9,0.010625737898465172
1382,koło,10,0.002538715410002539,7,0.008264462809917356
3096,słodki,10,0.002538715410002539,9,0.010625737898465172
1346,kopać,10,0.002538715410002539,8,0.009445100354191263
1470,kupka,10,0.002538715410002539,10,0.011806375442739079
2383,pod,10,0.002538715410002539,10,0.011806375442739079
1304,kocyk,10,0.002538715410002539,9,0.010625737898465172
2669,puść,10,0.002538715410002539,10,0.011806375442739079
2033,oddać,10,0.002538715410002539,10,0.011806375442739079
2425,pokaz,10,0.002538715410002539,9,0.010625737898465172
960,halo,10,0.002538715410002539,9,0.010625737898465172
2587,przeszkadzać,10,0.002538715410002539,9,0.010625737898465172
3510,wyglądać,10,0.002538715410002539,8,0.009445100354191263
812,filip,10,0.002538715410002539,7,0.008264462809917356
259,bluzka,10,0.002538715410002539,8,0.009445100354191263
3760,znaleźć,10,0.002538715410002539,10,0.011806375442739079
3900,świat,10,0.002538715410002539,10,0.011806375442739079
1807,motor,10,0.002538715410002539,8,0.009445100354191263
1670,marchewka,10,0.002538715410002539,8,0.009445100354191263
3764,znowu,10,0.002538715410002539,9,0.010625737898465172
3777,zostawić,10,0.002538715410002539,10,0.011806375442739079
2582,przepraszać,10,0.002538715410002539,10,0.011806375442739079
2954,spacerko,10,0.002538715410002539,9,0.010625737898465172
3010,strażak,10,0.002538715410002539,10,0.011806375442739079
1681,marysie,10,0.002538715410002539,8,0.009445100354191263
3889,śnieg,10,0.002538715410002539,10,0.011806375442739079
3262,tymek,10,0.002538715410002539,2,0.0023612750885478157
2704,pływać,10,0.002538715410002539,8,0.009445100354191263
3807,ząbek,10,0.002538715410002539,10,0.011806375442739079
1920,niebieski,10,0.002538715410002539,10,0.011806375442739079
887,gotować,10,0.002538715410002539,10,0.011806375442739079
3370,wakacje,10,0.002538715410002539,7,0.008264462809917356
1865,najpierw,10,0.002538715410002539,8,0.009445100354191263
3288,ucho,9,0.002284843869002285,7,0.008264462809917356
199,basia,9,0.002284843869002285,5,0.0059031877213695395
451,ciasteczko,9,0.002284843869002285,8,0.009445100354191263
534,cześć,9,0.002284843869002285,6,0.0070838252656434475
2699,płatka,9,0.002284843869002285,9,0.010625737898465172
3412,wieża,9,0.002284843869002285,9,0.010625737898465172
2546,prawda,9,0.002284843869002285,6,0.0070838252656434475
2445,polko,9,0.002284843869002285,8,0.009445100354191263
1972,nocnik,9,0.002284843869002285,7,0.008264462809917356
2182,papa,9,0.002284843869002285,8,0.009445100354191263
803,farba,9,0.002284843869002285,9,0.010625737898465172
166,baja,9,0.002284843869002285,9,0.010625737898465172
524,czekolada,9,0.002284843869002285,9,0.010625737898465172
648,drzwi,9,0.002284843869002285,9,0.010625737898465172
3895,śpiący,9,0.002284843869002285,8,0.009445100354191263
458,cicho,9,0.002284843869002285,9,0.010625737898465172
1210,kasia,9,0.002284843869002285,7,0.008264462809917356
2385,podać,9,0.002284843869002285,8,0.009445100354191263
3791,zuza,9,0.002284843869002285,7,0.008264462809917356
3482,wszystek,9,0.002284843869002285,9,0.010625737898465172
527,czekoladka,9,0.002284843869002285,9,0.010625737898465172
3771,zoo,9,0.002284843869002285,7,0.008264462809917356
240,biedronka,9,0.002284843869002285,8,0.009445100354191263
1880,napić,9,0.002284843869002285,9,0.010625737898465172
3836,łazienka,9,0.002284843869002285,9,0.010625737898465172
2451,pomalować,9,0.002284843869002285,9,0.010625737898465172
604,dobranoc,9,0.002284843869002285,8,0.009445100354191263
